#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (02-2024 - 01-2026),SV Forecasting trend (02-2026 - 02-2027)
2,gtm,us,71,12000,0.7,0.59,gtm,2026-01-31 8:30:01,"AI Overview,Thumbnail,People also ask,Sitelinks,Video preview",162000,23000,90000,2015-09-01,"Informational,Branded,Non-local",English,"12279, 11715, 11682, 11755, 12181, 11708, 11962, 11711, 11677, 11662, 11598, 11833, 12218, 11656, 11624, 11697, 12120, 11650, 11902, 11652, 11619, 11604, 11540, 11774","12157, 11598, 11566, 11638, 12060, 11592, 11843, 11594, 11561, 11546, 11482, 11715"
4,gtm strategy,us,22,6800,3.5,0.38,gtm strategy,2026-02-02 15:38:07,"Featured snippet,People also ask,Discussions,Sitelinks,Video preview",17000,4500,9300,2015-10-13,"Informational,Non-branded,Non-local",English,"5415, 5939, 5906, 5633, 5698, 5766, 6027, 5922, 6108, 5989, 5862, 6530, 6655, 6376, 6960, 6687, 6752, 6820, 7081, 6976, 7162, 7043, 6916, 7583","7709, 7430, 8014, 7741, 7806, 7874, 8135, 8030, 8216, 8097, 7970, 8637"
5,gtm meaning,us,28,5500,4.5,0.29,gtm meaning,2026-01-27 12:36:21,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",15000,2000,4100,2015-10-04,"Informational,Non-branded,Non-local",English,"5497, 3927, 4715, 4498, 5120, 4937, 5487, 5098, 4959, 4945, 4825, 5243, 5542, 5548, 5288, 5072, 5694, 5511, 6060, 5671, 5532, 5518, 5398, 5817","6115, 6122, 5862, 5645, 6267, 6084, 6634, 6245, 6106, 6092, 5972, 6390"
7,go to market,us,23,4700,3.5,0.44,gtm strategy,2026-01-31 20:02:59,"Sitelinks,People also ask,Discussions,Video preview",22000,4500,9300,2015-09-06,"Informational,Non-branded,Non-local",English,"4878, 4748, 4635, 4456, 4340, 4306, 4256, 4539, 4560, 4819, 4270, 4513, 4874, 5017, 4861, 4687, 4569, 4538, 4486, 4773, 4793, 5054, 4505, 4750","5112, 5256, 5100, 4927, 4810, 4781, 4730, 5018, 5038, 5301, 4753, 4999"
8,what is gtm,us,45,2500,1.1,0.35,gtm strategy,2026-01-31 11:02:29,"Featured snippet,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",6000,4500,9300,2015-10-06,"Informational,Branded,Non-local",English,"1446, 1452, 1447, 1680, 1453, 1461, 1465, 1473, 1711, 1469, 1204, 2166, 2237, 2171, 2206, 2206, 2205, 2693, 2670, 2688, 3308, 2717, 2327, 2942","2994, 3332, 3239, 3362, 3458, 3375, 3615, 3495, 3823, 3507, 3421, 4272"
9,what is a go to market strategy,us,35,1300,0.5,0.84,gtm strategy,2026-01-25 14:44:11,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",2200,4200,8900,2015-09-11,"Informational,Non-branded,Non-local",English,"1007, 991, 1021, 993, 981, 994, 983, 989, 988, 837, 679, 1772, 2623, 1245, 1244, 1036, 1015, 1083, 1387, 1470, 1276, 936, 1099, 1459","1736, 1509, 1508, 1527, 1479, 1423, 1440, 1464, 1510, 1464, 1295, 1716"
10,what is go to market strategy,us,28,1000,0.3,0.89,gtm strategy,2026-01-23 4:28:48,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",2400,4000,9100,2016-05-03,"Informational,Non-branded,Non-local",English,"1036, 1060, 1058, 1031, 990, 1239, 1001, 982, 868, 870, 712, 1282, 1337, 1013, 1022, 935, 913, 1107, 992, 970, 1030, 947, 939, 1107","1119, 1097, 1091, 1062, 1049, 1073, 1054, 1071, 1102, 1060, 1006, 1174"
14,whats gtm,us,42,900,4.5,,gtm meaning,2026-01-21 16:32:50,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",1300,2000,4000,2017-04-23,"Informational,Non-branded,Non-local",English,"157, 162, 76, 77, 61, 82, 80, 81, 97, 251, 247, 867, 1334, 630, 877, 757, 602, 812, 636, 858, 1087, 952, 988, 1074","1110, 1054, 1039, 1020, 960, 955, 943, 931, 913, 950, 895, 979"
17,what does gtm mean,us,3,800,5,,gtm meaning,2026-01-18 13:34:21,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",1300,2000,4000,2016-01-29,"Informational,Non-branded,Non-local",English,"430, 525, 521, 515, 524, 522, 527, 528, 528, 535, 519, 784, 928, 765, 637, 654, 785, 792, 773, 766, 787, 782, 766, 822","834, 836, 811, 823, 847, 854, 843, 838, 841, 835, 830, 886"
18,gtm tool,us,14,700,10,,gtm tool,2026-01-23 22:14:53,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview,Bottom ads",1000,100,100,2018-01-15,"Informational,Non-branded,Non-local",English,"37, 36, 44, 45, 29, 36, 37, 37, 37, 37, 68, 54, 45, 713, 628, 776, 1674, 532, 530, 714, 965, 985, 987, 815","818, 885, 875, 883, 893, 848, 860, 879, 919, 930, 885, 880"
19,go to market meaning,us,31,700,0.6,,what is gtm in business,2026-01-27 0:27:39,"AI Overview,Thumbnail,People also ask,Sitelinks,Discussions,Top stories,Video preview",1600,3100,4800,2016-06-13,"Informational,Non-branded,Non-local",English,"691, 622, 609, 599, 592, 602, 679, 610, 614, 504, 497, 1063, 1285, 672, 684, 603, 508, 618, 530, 856, 624, 524, 570, 777","774, 740, 726, 725, 687, 698, 712, 751, 726, 668, 621, 846"
20,what does go to market mean,us,38,700,3,,what is gtm in business,2026-01-28 15:41:29,"AI Overview,Thumbnail,People also ask,Sitelinks,Discussions,Top stories,Video preview",1100,3200,4900,2016-07-27,"Informational,Non-branded,Non-local",English,"649, 639, 653, 649, 546, 551, 647, 554, 655, 647, 527, 903, 1194, 657, 770, 545, 652, 676, 669, 800, 684, 682, 671, 796","833, 776, 773, 783, 771, 783, 817, 833, 845, 832, 773, 899"
21,what is a gtm,us,19,500,0.45,,what is gtm in business,2026-02-02 2:59:13,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",800,3300,4700,2017-05-05,"Informational,Non-branded,Non-local",English,"188, 191, 189, 235, 232, 229, 280, 282, 288, 240, 232, 535, 815, 360, 358, 357, 434, 540, 451, 453, 540, 524, 514, 578","614, 588, 593, 603, 628, 636, 665, 665, 684, 687, 691, 756"
25,gtm strategy meaning,us,20,450,3,,what is gtm in business,2026-01-26 13:06:46,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",1400,3100,4800,2020-01-31,"Informational,Non-branded,Non-local",English,"264, 183, 221, 326, 272, 267, 271, 269, 327, 327, 270, 613, 929, 331, 407, 341, 412, 428, 361, 353, 442, 473, 394, 459","482, 417, 429, 430, 430, 427, 436, 428, 441, 445, 425, 490"
30,what does gtm stand for,us,14,400,4.5,,gtm meaning,2025-12-28 23:27:54,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",800,1800,3600,2015-12-22,"Informational,Non-branded,Non-local",English,"288, 294, 280, 190, 153, 185, 154, 157, 230, 233, 283, 445, 679, 293, 285, 290, 424, 443, 443, 368, 447, 440, 419, 462","479, 432, 424, 416, 417, 413, 421, 404, 422, 414, 416, 459"
32,what does gtm stand for in business,us,2,350,4.5,,what is gtm in business,2026-01-31 23:57:41,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",450,3200,4600,2016-11-10,"Informational,Non-branded,Non-local",English,"85, 86, 131, 241, 250, 304, 366, 307, 306, 247, 163, 563, 851, 373, 376, 376, 311, 196, 245, 247, 247, 205, 178, 219","221, 171, 152, 158, 144, 133, 129, 112, 111, 79, 69, 100"
33,what does gtm mean in business,us,12,350,3.5,,what is gtm in business,2025-12-26 4:15:22,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",450,3200,5100,2019-09-30,"Informational,Non-branded,Non-local",English,"197, 86, 133, 200, 160, 162, 134, 136, 164, 133, 135, 379, 691, 197, 199, 242, 252, 371, 367, 366, 375, 314, 369, 421","473, 424, 439, 465, 477, 500, 509, 518, 533, 548, 556, 608"
37,what is a gtm strategy,us,30,300,0.5,,gtm strategy,2026-01-21 15:27:43,"AI Overview,Thumbnail,Sitelinks,People also ask,Discussions,Video preview",600,3900,9000,2015-11-18,"Informational,Non-branded,Non-local",English,"182, 183, 183, 185, 185, 180, 188, 191, 198, 179, 134, 378, 581, 245, 242, 211, 219, 221, 252, 291, 250, 193, 220, 302","371, 291, 281, 283, 277, 271, 279, 272, 279, 264, 235, 321"
38,gtm team,us,2,300,8,,gtm team,2026-01-01 7:08:22,"AI Overview,Thumbnail,People also ask,Top stories,Sitelinks,Video preview",800,200,250,2017-05-22,"Informational,Non-branded,Non-local",English,"209, 209, 240, 200, 204, 199, 242, 467, 244, 201, 197, 416, 448, 237, 243, 249, 242, 251, 260, 258, 270, 230, 202, 273","263, 266, 262, 247, 256, 244, 259, 286, 252, 224, 201, 272"
45,gtm recruiter,us,1,250,2.5,,gtm recruiter,2025-12-14 5:32:01,"People also ask,Sitelinks,Video preview",450,50,60,2020-02-05,"Informational,Non-branded,Non-local",English,"220, 182, 216, 219, 181, 190, 192, 234, 289, 192, 220, 340, 269, 339, 280, 280, 184, 294, 298, 240, 210, 201, 241, 279","269, 276, 269, 274, 268, 269, 277, 286, 293, 292, 288, 326"
47,gtm operations,us,1,250,7,,gtm operations,2026-01-22 3:23:38,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",500,100,100,2017-02-03,"Informational,Non-branded,Non-local",English,"139, 203, 206, 171, 255, 211, 170, 167, 170, 170, 172, 305, 212, 255, 260, 325, 227, 276, 187, 226, 227, 233, 228, 335","240, 289, 287, 311, 268, 289, 227, 262, 264, 268, 264, 371"
49,gtm solutions,us,4,200,1.7,,gtm solutions,2025-12-28 1:32:30,"Sitelinks,People also ask,Video preview",250,30,30,2016-06-30,"Informational,Branded,Non-local",English,,
51,gtm agency,us,1,200,6,,gtm agency,2026-01-26 16:41:54,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",700,80,90,2018-03-25,"Informational,Branded,Non-local",English,"53, 32, 47, 50, 111, 79, 78, 101, 121, 80, 120, 201, 156, 167, 212, 250, 231, 202, 228, 184, 285, 208, 233, 286","305, 296, 267, 273, 319, 310, 340, 290, 316, 261, 299, 366"
53,define go to market,us,15,200,0.1,,gtm meaning,2025-12-11 17:07:47,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Discussions",250,3800,5600,2017-02-17,"Informational,Non-branded,Non-local",English,,
54,what is go-to-market strategy,us,26,200,1.8,,gtm strategy,2026-01-06 9:01:32,"AI Overview,Thumbnail,Sitelinks,People also ask,Discussions",350,3700,8100,2017-07-19,"Informational,Non-branded,Non-local",English,,
56,gtm architects,us,1,200,30,0.93,gtm architects,2026-01-23 14:26:36,Sitelinks,200,150,150,2015-09-17,"Informational,Branded,Non-local",English,"122, 123, 126, 123, 143, 126, 146, 142, 155, 152, 133, 191, 231, 225, 198, 192, 184, 191, 167, 148, 177, 153, 154, 181","208, 211, 203, 200, 193, 200, 205, 195, 190, 176, 173, 201"
58,gtm motion,us,1,200,4.5,,gtm motion,2026-01-21 5:10:36,"AI Overview,Thumbnail,People also ask,Top stories,Video preview",450,400,700,2020-05-04,"Informational,Non-branded,Non-local",English,,
59,gtm role,us,1,200,5,,gtm roles,2026-01-10 6:09:10,"AI Overview,Thumbnail,People also ask,Sitelinks,Video preview",500,200,200,2017-11-16,"Informational,Non-branded,Non-local",English,,
71,define gtm,us,13,150,4.5,,gtm meaning,2025-12-20 12:40:34,"AI Overview,Thumbnail,People also ask,Top stories,Sitelinks",300,3800,5600,2016-07-04,"Informational,Non-branded,Non-local",English,"96, 95, 100, 95, 99, 97, 100, 101, 102, 96, 80, 162, 259, 135, 128, 126, 124, 155, 155, 159, 192, 159, 160, 181","191, 186, 184, 189, 190, 195, 197, 200, 205, 199, 199, 220"
72,go to market team,us,2,150,4.5,,gtm meaning,2025-12-18 1:54:18,"People also ask,Sitelinks,Discussions,Top stories,Thumbnail",300,3900,5700,2017-06-01,"Informational,Non-branded,Non-local",English,,
73,go to market platform,us,8,150,4,,gtm software,2025-12-20 6:03:01,"People also ask,Sitelinks",200,350,350,2020-04-08,"Informational,Non-branded,Non-local",English,,
75,gtm recruiting,us,0,150,,,gtm recruiter,2026-01-07 12:27:27,"People also ask,Sitelinks,Top stories,Thumbnail",150,100,100,2019-03-04,"Informational,Non-branded,Non-local",English,,
76,gtm means,us,13,150,,,gtm meaning,2025-12-28 12:48:50,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories",500,1800,3600,2017-02-01,"Informational,Non-branded,Non-local",English,,
79,gtm tech stack,us,0,150,2,,gtm tech stack,2025-12-28 3:28:51,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories",400,100,100,2021-07-13,"Informational,Non-branded,Non-local",English,"66, 115, 137, 113, 90, 53, 89, 92, 114, 88, 112, 174, 210, 222, 185, 155, 135, 196, 168, 125, 116, 126, 105, 118","115, 118, 113, 106, 107, 97, 100, 93, 92, 89, 78, 94"
80,go to market playbook,us,1,150,4.5,,gtm playbook,2026-01-08 6:12:35,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Discussions",200,100,100,2019-02-27,"Informational,Non-branded,Non-local",English,,
81,gtm metrics,us,3,150,5,,gtm metrics,2025-12-23 3:35:35,"Sitelinks,People also ask,Top stories,Thumbnail",250,100,100,2017-01-19,"Informational,Non-branded,Non-local",English,,
82,gtm builders,us,0,150,1.1,0.94,gtm builders,2026-02-02 19:31:32,"Sitelinks,Local pack,People also ask,Video preview",250,100,100,2016-01-09,"Informational,Branded,Non-local",English,"189, 185, 157, 156, 126, 125, 131, 127, 153, 122, 145, 183, 147, 222, 185, 181, 168, 160, 186, 147, 146, 98, 139, 174","195, 212, 188, 179, 171, 167, 166, 152, 148, 137, 139, 174"
83,gtm near me,us,6,150,1.7,,gtm near me,2026-01-02 16:20:08,"Local pack,Sitelinks,People also ask",350,60,60,2017-05-13,"Informational,Branded,Local",English,,
84,gtm partners,us,4,150,3,,gtm partners,2026-01-24 9:55:31,"Sitelinks,People also ask,Top stories,Thumbnail",300,100,100,2016-09-16,"Informational,Branded,Non-local",English,,
85,gtm in business,us,19,150,,,what is a gtm,2026-01-04 14:36:41,"AI Overview,Thumbnail,People also ask,Top stories",350,2700,4400,2020-01-12,"Informational,Non-branded,Non-local",English,,
86,gtm events,us,14,150,,,gtm events,2025-12-31 6:16:04,"Sitelinks,People also ask,Top stories,Thumbnail,Video preview",400,150,200,2015-10-16,"Informational,Branded,Non-local",English,,
87,gtm stands for,us,5,150,6,,gtm meaning,2025-11-14 1:09:41,"AI Overview,Thumbnail,Sitelinks,People also ask",600,700,1400,2016-02-15,"Informational,Non-branded,Non-local",English,"74, 67, 75, 79, 76, 99, 96, 97, 99, 98, 77, 275, 580, 95, 96, 99, 98, 89, 88, 87, 102, 74, 70, 99","128, 72, 66, 67, 65, 57, 56, 46, 48, 39, 32, 62"
88,gtm sales,us,12,150,3,,gtm sales,2025-12-27 14:32:18,"AI Overview,Thumbnail,Knowledge panel,People also ask,Top stories,Sitelinks",400,20,20,2015-10-08,"Informational,Branded,Non-local",English,"187, 190, 137, 200, 134, 393, 139, 136, 139, 134, 108, 137, 142, 168, 168, 167, 137, 213, 182, 175, 151, 158, 147, 160","159, 164, 181, 174, 168, 229, 185, 177, 178, 171, 157, 171"
89,what is gtm recruiting,us,0,150,,,gtm recruiter,2025-12-28 12:31:02,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories",200,150,150,2021-09-02,"Informational,Non-branded,Non-local",English,,
91,define go to market strategy,us,25,150,0.15,,what is gtm in business,2025-12-26 21:17:17,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Discussions",200,3200,5100,2015-11-26,"Informational,Non-branded,Non-local",English,,
92,product marketing go to market strategy,us,11,150,3,,gtm product manager,2026-01-05 23:59:52,"Top ads,AI Overview,Thumbnail,Sitelinks,Bottom ads,Paid sitelinks",200,20,20,2016-09-22,"Informational,Non-branded,Non-local",English,,
94,what is gtm?,us,33,150,,,what is gtm in business,2025-12-30 16:57:48,"AI Overview,Thumbnail,People also ask,Sitelinks",350,3000,4800,2016-11-22,"Informational,Branded,Non-local",English,,
95,what is a gtm recruiter,us,0,150,,,gtm recruiter,2026-01-07 15:26:01,"AI Overview,Thumbnail,People also ask,Sitelinks",150,150,150,2020-10-30,"Informational,Non-branded,Non-local",English,,
96,gtm engine,us,0,150,,,gtm engine,2025-12-19 9:56:09,"Sitelinks,People also ask,Top stories,Thumbnail,Video preview",350,60,60,2016-04-01,"Informational,Branded,Non-local",English,,
97,gtm tools,us,2,150,10,,gtm software,2025-12-24 4:47:08,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories",700,350,350,2017-08-28,"Informational,Non-branded,Non-local",English,"70, 70, 81, 79, 56, 71, 72, 70, 71, 69, 126, 105, 89, 177, 209, 218, 306, 161, 156, 151, 168, 129, 154, 158","159, 174, 180, 175, 165, 167, 168, 166, 159, 161, 151, 154"
98,go to market tools,us,1,150,6,,gtm software,2025-12-13 23:32:44,"People also ask,Discussions,Top stories,Thumbnail,Sitelinks",250,350,350,2020-01-25,"Informational,Non-branded,Non-local",English,,
99,go to market software,us,1,150,7,,gtm software,2025-12-18 14:52:32,"People also ask,Sitelinks,Discussions",200,350,350,2018-01-24,"Informational,Non-branded,Non-local",English,,
100,gtm business meaning,us,14,150,,,what is a gtm,2026-01-07 21:00:19,"AI Overview,Thumbnail,People also ask,Sitelinks",250,2800,4500,2016-02-02,"Informational,Non-branded,Non-local",English,,
101,gtm enablement,us,0,150,7,,gtm enablement,2025-12-17 13:32:55,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Bottom ads,Paid sitelinks,Video preview",400,30,30,2019-02-12,"Informational,Branded,Non-local",English,"216, 139, 173, 114, 115, 94, 99, 124, 152, 171, 146, 174, 97, 180, 147, 154, 148, 168, 200, 193, 169, 137, 155, 172","191, 213, 195, 192, 172, 174, 194, 179, 182, 187, 160, 179"
105,plg gtm,us,0,150,3.5,,plg gtm,2026-01-07 1:08:02,"People also ask,Sitelinks,Top stories,Thumbnail",200,80,80,2021-05-23,"Informational,Non-branded,Non-local",English,,
106,go to market strategy for saas products,us,4,150,6,,gtm strategy for saas,2025-11-28 6:37:42,"Sitelinks,AI Overview,Thumbnail,People also ask,Discussions",250,600,700,2018-12-07,"Informational,Non-branded,Non-local",English,"36, 126, 152, 95, 71, 74, 73, 109, 141, 221, 279, 286, 171, 225, 157, 104, 128, 119, 111, 95, 111, 118, 128, 120","102, 126, 112, 102, 106, 102, 100, 99, 116, 122, 133, 124"
107,gtm systems,us,0,150,3,,whats gtm,2025-12-29 11:44:18,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",350,100,200,2018-08-10,"Informational,Branded,Non-local",English,,
109,gtm playbook,us,0,150,3.5,,gtm playbook,2025-11-24 23:54:12,"AI Overview,Thumbnail,Sitelinks,People also ask",350,90,90,2020-01-13,"Informational,Non-branded,Non-local",English,,
112,gtm model,us,20,150,2,,gtm models,2026-01-01 9:47:04,"AI Overview,Thumbnail,People also ask,Top stories,Sitelinks",400,50,80,2016-04-26,"Informational,Non-branded,Non-local",English,,
113,gtm strategy for saas,us,4,150,5,,saas gtm,2026-01-02 16:20:02,"Sitelinks,AI Overview,People also ask",300,450,500,2020-02-01,"Informational,Non-branded,Non-local",English,,
115,gtm transformation,us,0,150,2.5,,gtm transformation,2026-01-04 11:32:17,"AI Overview,Thumbnail,People also ask,Top stories,Sitelinks",200,50,50,2017-12-10,"Informational,Non-branded,Non-local",English,,
116,gtm exam,us,1,150,,,gtm certification,2025-12-28 5:48:52,"People also ask,Sitelinks",150,200,250,2017-04-17,"Informational,Branded,Non-local",English,,
117,go-to-market definition,us,33,100,0.1,,what does gtm mean,2025-11-27 13:50:54,"Featured snippet,People also ask,Sitelinks,Top stories,Thumbnail",150,500,1200,2015-10-12,"Informational,Non-branded,Non-local",English,,
120,what is go-to-market,us,16,100,2,,gtm meaning,2025-12-20 2:24:55,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories",250,3800,5600,2017-10-13,"Informational,Non-branded,Non-local",English,"104, 104, 105, 105, 100, 108, 107, 108, 112, 113, 108, 115, 116, 120, 117, 117, 119, 119, 120, 122, 125, 126, 122, 129","130, 133, 131, 131, 133, 133, 134, 136, 139, 140, 135, 142"
123,gtm motions,us,1,100,4.5,,gtm meaning,2025-11-29 5:57:39,"AI Overview,Thumbnail,People also ask,Sitelinks",250,150,200,2020-02-29,"Informational,Non-branded,Non-local",English,,
124,gtm checklist,us,0,100,2.5,,gtm checklist,2025-12-22 19:07:18,"AI Overview,Thumbnail,People also ask",150,100,100,2017-03-23,"Informational,Non-branded,Non-local",English,"74, 55, 73, 57, 55, 73, 55, 39, 38, 57, 56, 89, 54, 90, 88, 93, 68, 538, 67, 49, 29, 50, 93, 113","98, 115, 104, 112, 101, 155, 114, 99, 101, 119, 112, 132"
125,sales hacker,us,0,100,2.5,0.9,gtm fund,2026-01-25 0:03:33,"Sitelinks,People also ask,Top stories,Thumbnail,Video preview",500,30,40,2015-10-22,"Informational,Non-branded,Non-local",English,"122, 121, 100, 106, 108, 112, 89, 116, 141, 105, 102, 124, 103, 131, 129, 148, 124, 123, 131, 100, 58, 39, 80, 94","84, 91, 82, 96, 85, 86, 80, 80, 76, 63, 60, 70"
126,sales go to market strategy,us,26,100,4,,gtm strategy,2025-12-24 10:33:48,"Featured snippet,People also ask,Thumbnail,Sitelinks",150,3800,8400,2017-08-15,"Informational,Non-branded,Non-local",English,,
127,gtm stand for,us,6,100,,,gtm meaning,2026-01-02 10:25:53,"AI Overview,Thumbnail,Sitelinks,People also ask",200,1900,3800,2017-02-08,"Informational,Branded,Non-local",English,,
