#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (02-2024 - 01-2026),SV Forecasting trend (02-2026 - 02-2027)
130,gtm intelligence,us,0,100,,,gtm intelligence,2025-12-22 12:08:22,"People also ask,Top stories,Thumbnail,Video preview",200,30,30,2021-10-11,"Informational,Non-branded,Non-local",English,,
132,how gtm works,us,22,100,,,gtm tagging,2025-12-17 0:00:33,"AI Overview,Thumbnail,Sitelinks,People also ask",250,1800,3300,2018-09-09,"Informational,Branded,Non-local",English,,
133,gtm strategy and operations,us,1,100,3,,gtm strategy and operations,2026-01-07 6:30:07,"AI Overview,Thumbnail,Sitelinks,People also ask",150,40,40,2016-11-28,"Informational,Non-branded,Non-local",English,,
134,gtm full form,us,17,100,,,what is gtm in business,2025-12-28 11:04:02,"AI Overview,Thumbnail,People also ask,Sitelinks",5600,3000,4900,2015-09-28,"Informational,Branded,Non-local",English,,
135,gtm funnel,us,0,100,,,gtm funnel,2026-01-24 5:29:10,"People also ask,Top stories,Thumbnail",200,10,10,2020-01-13,"Informational,Non-branded,Non-local",English,,
139,go to market checklist,us,3,100,2,,gtm checklist,2025-12-17 19:48:03,Sitelinks,150,100,100,2017-02-24,"Informational,Non-branded,Non-local",English,,
140,what is a gtm team,us,1,100,,,gtm meaning,2026-01-07 2:56:01,"People also ask,AI Overview,Sitelinks,Top stories,Thumbnail",200,1900,3900,2021-02-04,"Informational,Non-branded,Non-local",English,,
142,gtm meaning in business,us,10,100,,,what is gtm in business,2025-12-27 19:11:34,"AI Overview,Thumbnail,People also ask,Top stories",700,3200,5100,2020-02-04,"Informational,Non-branded,Non-local",English,,
145,go to market tech stack,us,0,100,,,gtm tech stack,2026-01-02 14:55:19,"AI Overview,Thumbnail,Sitelinks,People also ask,Discussions",150,100,100,2022-01-11,"Informational,Non-branded,Non-local",English,,
147,gtm sales meaning,us,15,100,,,what is a gtm,2026-01-06 17:30:27,"AI Overview,Thumbnail,People also ask,Sitelinks",200,2800,4500,2018-03-22,"Informational,Non-branded,Non-local",English,,
149,what is a go to market team,us,3,100,,,what is gtm,2025-12-23 22:22:01,"People also ask,Sitelinks,Top stories,Thumbnail",150,3400,5300,2020-06-08,"Informational,Non-branded,Non-local",English,,
151,gtm definition,us,13,100,0.7,,what is gtm,2025-12-23 7:02:37,"AI Overview,Thumbnail,People also ask,Top stories,Sitelinks",300,3400,5300,2016-05-05,"Informational,Non-branded,Non-local",English,"61, 64, 62, 64, 64, 54, 75, 55, 79, 63, 70, 183, 291, 81, 84, 76, 87, 89, 67, 79, 93, 69, 68, 90","109, 166, 132, 111, 111, 72, 74, 92, 85, 73, 68, 90"
161,gtm ops,us,1,90,3.5,,gtm operations,2025-12-13 12:55:34,"AI Overview,Thumbnail,People also ask,Top stories,Sitelinks",150,90,90,2019-02-15,"Informational,Non-branded,Non-local",English,,
165,gtm leaders,us,0,90,,,gtm leaders,2025-12-14 16:46:04,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories",200,30,30,2016-12-02,"Informational,Branded,Non-local",English,,
167,what does gtm stand for in marketing,us,4,90,,,gtm meaning,2025-12-27 19:43:56,"AI Overview,Thumbnail,People also ask,Top stories",100,1600,3400,2022-01-27,"Informational,Non-branded,Non-local",English,,
169,go-to-market team,us,2,90,4.5,,gtm meaning,2025-12-21 23:31:38,"AI Overview,Thumbnail,People also ask,Sitelinks,Discussions,Top stories",150,3800,5700,2017-10-08,"Informational,Non-branded,Non-local",English,,
174,what are gtm roles,us,0,90,,,gtm roles,2025-12-17 11:06:48,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories",150,200,200,2022-04-22,"Informational,Non-branded,Non-local",English,,
175,enterprise gtm,us,1,90,,,gtm software,2025-11-27 20:39:50,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories",150,20,20,2020-02-14,"Informational,Non-branded,Non-local",English,,
179,gtm position,us,0,90,,,gtm meaning,2025-12-29 23:43:03,"People also ask,AI Overview,Sitelinks,Top stories,Thumbnail,Video preview",250,1800,3700,2020-01-09,"Informational,Non-branded,Non-local",English,,
180,gtm leader,us,0,90,,,gtm leader,2025-12-28 10:39:32,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories",200,30,30,2018-02-27,"Informational,Non-branded,Non-local",English,,
181,gtm tech,us,0,90,6,,gtm tech,2025-12-31 17:32:48,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",200,50,50,2020-01-18,"Informational,Non-branded,Non-local",English,,
183,go to market metrics,us,3,90,,,gtm metrics,2025-12-27 13:25:32,"Sitelinks,People also ask,Top stories,Thumbnail",150,100,100,2017-01-19,"Informational,Non-branded,Non-local",English,,
185,what does go-to-market mean,us,16,80,1,,gtm meaning,2025-11-25 13:23:38,"People also ask,Sitelinks,Discussions,Top stories,Thumbnail",100,4000,5600,2017-02-11,"Informational,Non-branded,Non-local",English,,
188,got to market strategy,us,36,80,2,,gtm strategy,2025-12-28 12:17:02,"Featured snippet,Sitelinks,People also ask,Top stories,Thumbnail,Discussions",150,1500,4800,2015-12-02,"Informational,Non-branded,Non-local",English,,
190,gtm for sale,us,0,80,0.3,1.52,factory five gtm for sale,2026-01-24 20:43:29,"Thumbnail,Sitelinks,People also ask",90,700,700,2015-09-19,"Informational,Commercial,Transactional,Branded,Non-local",English,"94, 91, 99, 78, 63, 90, 61, 61, 63, 64, 60, 73, 49, 76, 76, 88, 103, 73, 73, 73, 84, 67, 79, 83","93, 80, 78, 75, 72, 68, 80, 84, 80, 97, 79, 84"
192,gtm meaning marketing,us,10,80,,,gtm meaning,2026-01-02 14:20:50,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories",200,1900,3800,2020-02-05,"Informational,Non-branded,Non-local",English,,
195,gtm functions,us,5,80,9,,gtm operations,2025-12-27 8:41:18,"AI Overview,People also ask,Sitelinks",150,100,100,2020-03-30,"Informational,Non-branded,Non-local",English,,
198,gtm team meaning,us,2,80,,,gtm meaning,2025-12-30 21:01:02,"AI Overview,Thumbnail,Sitelinks,People also ask",250,1800,3700,2021-05-06,"Informational,Non-branded,Non-local",English,,
199,gtm campaigns,us,24,80,2.5,,gtm strategy,2025-12-27 10:07:18,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories",200,1600,4700,2017-04-05,"Informational,Non-branded,Non-local",English,,
201,go to market strategy checklist,us,1,70,2,,gtm checklist,2026-01-01 20:49:01,"AI Overview,Thumbnail,Sitelinks,Discussions",90,100,100,2017-10-11,"Informational,Non-branded,Non-local",English,,
209,gtm lead,us,0,70,,,gtm lead,2025-12-26 21:20:01,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories",250,0,0,2018-02-15,"Informational,Non-branded,Non-local",English,,
210,gtm setup,us,25,70,,,gtm container,2026-01-05 5:09:27,"AI Overview,Thumbnail,People also ask,Sitelinks",300,800,1100,2018-04-27,"Informational,Branded,Non-local",English,,
213,gtm plays,us,4,70,,,gtm plays,2025-11-13 11:29:24,"People also ask,Bottom ads",100,20,20,2022-01-06,"Informational,Non-branded,Non-local",English,,
217,go to market strategy startup,us,7,70,3,,gtm strategy,2026-01-03 2:31:02,"AI Overview,Thumbnail,Sitelinks",100,300,500,2015-12-05,"Informational,Non-branded,Non-local",English,,
221,best go to market strategies,us,10,60,3,,gtm strategy,2026-01-02 14:48:01,"AI Overview,Thumbnail,Sitelinks,People also ask,Discussions",70,300,500,2018-05-04,"Informational,Non-branded,Non-local",English,,
225,head of gtm,us,0,60,,,head of gtm,2025-12-27 15:48:32,"AI Overview,Thumbnail,People also ask,Top stories,Sitelinks",150,10,10,2020-01-24,"Informational,Non-branded,Non-local",English,,
228,gtm consultants,us,5,60,2.5,,gtm consultants,2026-01-07 22:38:32,People also ask,150,20,20,2020-01-14,"Informational,Branded,Non-local",English,,
230,gtm positioning,us,1,60,,,gtm positioning,2025-12-19 14:35:17,"People also ask,Sitelinks,Top stories,Thumbnail",80,10,10,2021-06-11,"Informational,Non-branded,Non-local",English,,
235,gtm organization,us,5,60,,,what is a gtm,2026-01-07 18:37:05,"People also ask,Top stories,Thumbnail",100,2800,4500,2020-03-11,"Informational,Non-branded,Non-local",English,,
237,gtm models,us,2,60,2,,gtm model,2026-01-04 11:11:36,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories",150,20,20,2017-01-10,"Informational,Non-branded,Non-local",English,,
240,go to market functions,us,3,60,3,,gtm roles,2025-12-22 13:27:34,"Sitelinks,People also ask",70,150,150,2020-01-13,"Informational,Non-branded,Non-local",English,,
241,gtm technology,us,1,60,,,gtm tech,2025-12-27 13:18:18,"AI Overview,Thumbnail,Sitelinks,People also ask",150,50,50,2015-09-06,"Informational,Branded,Non-local",English,,
242,gtm products,us,3,60,3,,gtm coupons,2025-12-28 7:33:12,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Shopping",150,1300,1300,2016-11-02,"Informational,Commercial,Branded,Non-local",English,,
243,go to market analytics,us,12,60,5,,gtm metrics,2025-12-30 3:01:43,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Discussions",90,100,100,2017-02-20,"Informational,Non-branded,Non-local",English,,
246,go to market manager,us,0,60,4,,gtm manager,2026-01-05 19:27:03,"People also ask,Sitelinks,Discussions",300,100,150,2019-09-18,"Informational,Non-branded,Non-local",English,,
249,go to market recruiting,us,0,50,1.8,,gtm recruiter,2026-01-01 23:46:53,"People also ask,Discussions,Sitelinks",70,150,150,2020-02-25,"Informational,Non-branded,Non-local",English,,
252,go to market motions,us,1,50,7,,gtm meaning,2025-11-19 2:31:28,"AI Overview,Thumbnail,People also ask,Sitelinks,Discussions",80,250,300,2017-01-05,"Informational,Non-branded,Non-local",English,,
253,go-to-market teams,us,1,50,,,gtm meaning,2025-12-16 0:17:28,"AI Overview,Thumbnail,People also ask,Sitelinks,Discussions",70,3900,5700,2019-02-07,"Informational,Non-branded,Non-local",English,,
257,gtm function,us,30,50,9,,gtm function,2025-12-15 13:57:19,"AI Overview,Thumbnail,People also ask,Sitelinks",90,70,70,2020-04-23,"Informational,Non-branded,Non-local",English,,
258,gtm system,us,0,50,,,gtm systems,2025-12-28 9:39:21,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories",100,90,200,2016-01-18,"Informational,Branded,Non-local",English,,
259,go to market motion,us,0,50,7,,gtm meaning,2025-12-25 15:41:54,"AI Overview,Thumbnail,Top ads,People also ask,Top stories,Discussions,Sitelinks,Bottom ads",90,500,700,2020-01-11,"Informational,Non-branded,Non-local",English,,
261,gtm title,us,1,50,,,gtm meaning,2026-01-04 20:27:21,"AI Overview,People also ask,Sitelinks",70,1900,3800,2020-04-16,"Informational,Non-branded,Non-local",English,,
262,gtm experience,us,7,50,,,what is a gtm,2026-01-02 9:25:01,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories",80,2700,4500,2017-03-05,"Informational,Non-branded,Non-local",English,,
267,product led gtm,us,2,50,10,,product led gtm,2025-12-27 4:26:43,"People also ask,Sitelinks",100,50,50,2021-08-25,"Informational,Non-branded,Non-local",English,"65, 65, 60, 60, 61, 66, 78, 68, 73, 64, 72, 39, 24, 33, 81, 107, 59, 5, 5, 176, 7, 5, 66, 62","64, 66, 70, 70, 69, 68, 67, 82, 67, 72, 77, 73"
268,go to market strategy for sales,us,29,50,3,,gtm strategy,2025-12-31 4:53:19,"AI Overview,Thumbnail,Sitelinks,People also ask",90,3400,7800,2019-07-21,"Informational,Non-branded,Non-local",English,,
272,gtm channels,us,1,50,,,gtm channels,2025-11-28 12:01:20,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories",100,10,10,2018-03-05,"Informational,Non-branded,Non-local",English,,
277,gtm kpis,us,3,40,8,,gtm metrics,2026-01-02 8:43:55,"Sitelinks,People also ask,Thumbnail,Top stories",70,100,100,2020-09-28,"Informational,Non-branded,Non-local",English,,
280,different go to market strategies,us,6,40,2,,gtm motion,2025-12-24 22:58:46,"AI Overview,Thumbnail,People also ask,Discussions,Sitelinks",60,80,90,2016-02-29,"Informational,Non-branded,Non-local",English,,
286,gtm campaign,us,22,40,2.5,,gtm strategy,2025-12-30 0:34:02,"AI Overview,Thumbnail,People also ask,Sitelinks",90,1600,4900,2020-01-10,"Informational,Non-branded,Non-local",English,,
288,gtm partnership,us,0,40,,,gtm partners,2025-11-24 13:32:46,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories",60,100,100,2020-01-10,"Informational,Non-branded,Non-local",English,,
289,gtm advisor,us,0,40,,,gtm advisor,2025-12-26 3:54:17,"AI Overview,Thumbnail,People also ask,Sitelinks",150,10,10,2020-02-26,"Informational,Non-branded,Non-local",English,,
290,what are go to market roles,us,0,40,,,gtm roles,2026-01-03 15:44:31,"AI Overview,Thumbnail,People also ask,Sitelinks,Discussions",60,200,200,2022-02-15,"Informational,Non-branded,Non-local",English,,
295,go to market or go-to-market,us,7,40,,,gtm meaning,2025-12-30 1:32:31,"AI Overview,Thumbnail,Sitelinks,People also ask,Discussions,Top stories",50,1800,3700,2017-01-02,"Informational,Non-branded,Non-local",English,,
296,going to market meaning,us,25,40,,,gtm meaning,2025-11-10 1:22:44,"People also ask,Sitelinks,Discussions",70,4600,6500,2020-02-26,"Informational,Non-branded,Non-local",English,,
299,gtm builder,us,33,40,,,gtm builders,2023-06-21 20:19:52,"Sitelinks,Local pack,Image pack",150,90,,2020-01-15,"Informational,Branded,Non-local",English,,
303,gtm ads,us,66,40,,,gtm sales,2025-12-15 18:12:23,"Sitelinks,People also ask",150,150,150,2020-02-12,"Informational,Branded,Non-local",English,,
313,gtm leadership,us,0,40,,,gtm leader,2026-01-01 0:23:40,"AI Overview,Thumbnail,People also ask,Sitelinks",80,30,30,2020-02-12,"Informational,Non-branded,Non-local",English,,
316,gtm messaging,us,0,40,,,gtm messaging,2026-01-01 21:00:41,"AI Overview,Thumbnail,People also ask,Sitelinks",70,0,0,2020-01-25,"Informational,Non-branded,Non-local",English,,
317,gtm manufacturing,us,0,40,,,gtm manufacturing,2026-01-24 16:52:22,"Sitelinks,People also ask,Knowledge panel",50,20,20,2016-03-08,"Informational,Branded,Non-local",English,,
318,go to market startup,us,1,40,2.5,,gtm strategy,2025-12-25 23:14:36,"Sitelinks,People also ask",70,3600,8000,2018-08-15,"Informational,Non-branded,Non-local",English,,
319,gtm mean,us,7,40,,,gtm meaning,2025-12-30 16:12:34,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories",100,1800,3700,2019-02-12,"Informational,Non-branded,Non-local",English,,
321,what is gtm operations,us,0,40,,,gtm operations,2025-12-11 18:53:43,"AI Overview,Thumbnail,People also ask,Sitelinks",60,90,90,2021-10-19,"Informational,Non-branded,Non-local",English,,
323,gtm meaning slang,us,0,40,,,gtm meaning slang,2026-01-04 8:29:54,"AI Overview,Thumbnail,People also ask,Sitelinks",50,10,10,2016-12-22,"Informational,Non-branded,Non-local",English,,
329,what does gtm,us,9,30,,,what is a gtm,2026-01-04 12:30:48,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories",50,2700,4400,2016-12-06,"Informational,Non-branded,Non-local",English,,
330,gtm group,us,6,30,,,gtm company,2025-11-27 4:50:53,"Sitelinks,People also ask",100,20,30,2017-02-02,"Informational,Branded,Non-local",English,,
335,google tag manager tracking code,us,37,30,,,gtm tagging,2025-12-24 19:01:20,"AI Overview,Thumbnail,Sitelinks,People also ask,Discussions",50,1700,3200,2017-07-17,"Informational,Branded,Non-local",English,,
338,go to market strategy for new product,us,14,30,3,,gtm strategy,2025-12-28 13:07:54,"Featured snippet,Thumbnail,Sitelinks,People also ask,Discussions,Bottom ads,Paid sitelinks",50,3600,7900,2020-01-10,"Informational,Non-branded,Non-local",English,,
341,gtm executive,us,0,30,,,gtm executive,2025-11-15 14:58:17,"AI Overview,Thumbnail,People also ask,Sitelinks",50,10,10,2020-10-27,"Informational,Non-branded,Non-local",English,,
344,full stack gtm,us,0,30,,,full stack gtm,2026-01-16 16:07:43,"Sitelinks,People also ask,Knowledge panel",40,10,10,2023-01-10,"Informational,Branded,Non-local",English,,
345,what is a go to market,us,6,30,,,what is gtm in business,2025-12-26 23:44:48,"People also ask,Sitelinks,Top stories,Thumbnail,Discussions",60,3200,5100,2019-03-15,"Informational,Non-branded,Non-local",English,,
346,gtm in sales,us,27,30,,,what is gtm in business,2026-01-01 8:10:33,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories",150,2900,4700,2016-07-04,"Informational,Non-branded,Non-local",English,,
347,what does gtm mean in text,us,0,30,,,what does gtm mean in text,2026-01-05 1:55:54,"AI Overview,Thumbnail,People also ask,Sitelinks",30,20,30,2022-01-02,"Informational,Non-branded,Non-local",English,,
350,saas gtm playbook,us,1,30,,,saas gtm playbook,2025-12-16 11:50:22,"Sitelinks,Top stories,Thumbnail",100,20,20,2022-05-02,"Informational,Non-branded,Non-local",English,,
351,go to market strategy for a new product,us,22,30,3,,gtm strategy,2025-12-28 17:44:29,"AI Overview,Thumbnail,Top ads,Paid sitelinks,Sitelinks,People also ask,Bottom ads",50,1500,4800,2020-05-21,"Informational,Non-branded,Non-local",English,,
352,gtm program manager,us,0,30,,,gtm program manager,2025-12-19 23:41:35,"AI Overview,Thumbnail,People also ask",50,20,20,2017-09-12,"Informational,Non-branded,Non-local",English,,
358,gtm 2024,us,0,30,,,gtm 2024,2025-12-04 0:47:17,People also ask,70,10,10,2023-02-14,"Informational,Branded,Non-local",English,,
359,gtm companies,us,28,30,4.5,,gtm companies,2025-11-25 23:02:07,"People also ask,Sitelinks,Top stories,Thumbnail",50,10,10,2021-07-29,"Informational,Branded,Non-local",English,,
364,definition of go to market,us,26,30,,,what is gtm in business,2025-12-25 21:50:23,"AI Overview,Thumbnail,People also ask,Sitelinks",40,3300,5100,2020-01-15,"Informational,Non-branded,Non-local",English,,
369,sales gtm,us,13,30,1.7,,what is gtm,2025-12-24 21:45:31,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories",70,3400,5300,2020-01-10,"Informational,Non-branded,Non-local",English,,
372,gtm services,us,14,30,0.6,,gtm services,2026-02-03 2:14:52,"Sitelinks,People also ask",150,0,0,2015-11-12,"Informational,Branded,Non-local",English,"29, 36, 26, 24, 50, 42, 38, 29, 28, 25, 24, 31, 29, 36, 26, 24, 50, 42, 38, 29, 28, 25, 24, 31","29, 36, 26, 24, 50, 42, 38, 29, 28, 25, 24, 31"
374,go to market lead,us,0,20,,,gtm manager,2025-12-27 15:19:18,"People also ask,Sitelinks,Discussions,Top stories,Thumbnail",50,100,150,2020-01-17,"Informational,Non-branded,Non-local",English,,
377,gtm product manager,us,0,20,,,gtm product marketing,2026-01-04 11:31:05,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories",50,10,10,2019-04-23,"Informational,Non-branded,Non-local",English,,
381,go to market product manager,us,1,20,4.5,,what does gtm mean,2025-12-14 14:59:46,"AI Overview,Thumbnail,People also ask,Sitelinks",30,150,200,2018-05-03,"Informational,Non-branded,Non-local",English,,
389,gtm operations manager,us,0,20,,,gtm operations manager,2025-12-12 14:29:53,People also ask,40,10,10,2020-11-25,"Informational,Non-branded,Non-local",English,,
393,go to market plan checklist,us,3,20,3.5,,gtm checklist,2025-12-20 3:24:17,Sitelinks,40,100,100,2016-11-03,"Informational,Non-branded,Non-local",English,"9, 9, 10, 9, 10, 11, 10, 11, 11, 9, 10, 10, 13, 22, 20, 17, 17, 8, 17, 17, 17, 16, 12, 12","10, 10, 8, 9, 7, 7, 23, 22, 18, 14, 11, 12"
394,gtm programs,us,0,20,4.5,,gtm software,2025-12-16 20:00:53,"AI Overview,Thumbnail,People also ask,Sitelinks,Bottom ads",30,350,350,2017-11-13,"Informational,Non-branded,Non-local",English,,
395,gtm phone number,us,1,20,,,gtm phone number,2026-01-05 8:11:01,People also ask,30,10,10,2015-12-19,"Informational,Branded,Non-local",English,,
396,define go-to-market,us,22,20,,,what is gtm in business,2025-12-27 10:08:48,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Discussions",20,3200,5100,2020-01-13,"Informational,Non-branded,Non-local",English,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
432,go to market specialist,us,0,20,,,gtm specialist,2025-12-26 16:21:53,"Sitelinks,People also ask,Discussions",80,100,100,2018-07-23,"Informational,Non-branded,Non-local",English,,
,,,,,,,,,,,,,,,,,
434,gtm partner,us,5,20,,,gtm partners,2025-12-29 14:54:02,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories",100,100,100,2020-01-10,"Informational,Branded,Non-local",English,,